                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.93585,                0.62721,                 1.0507,                0.91203,                0.88199,                0.93021,                0.69681,                0.90857,                0.53668,                 1.0509,              0.0075052,              0.0075052,              0.0075052
                     65,                0.92841,                0.61707,                 1.0453,                0.92835,                0.88061,                0.93148,                0.70914,                 0.8956,                0.51724,                 1.0523,              0.0074656,              0.0074656,              0.0074656
                     66,                0.93375,                0.61806,                 1.0488,                0.93578,                 0.8771,                0.93166,                0.71454,                0.86495,                0.51649,                 1.0318,               0.007426,               0.007426,               0.007426
                     67,                0.92564,                 0.6071,                  1.044,                0.94798,                0.87203,                0.92899,                0.71063,                0.88447,                0.51221,                 1.0391,              0.0073864,              0.0073864,              0.0073864
                     68,                0.92854,                0.61363,                 1.0468,                0.94111,                0.89176,                0.93627,                0.70753,                0.88582,                0.51972,                 1.0357,              0.0073468,              0.0073468,              0.0073468
                     69,                 0.9157,                 0.5996,                 1.0385,                0.95177,                0.87193,                0.93351,                0.71196,                  0.895,                0.50513,                 1.0493,              0.0073072,              0.0073072,              0.0073072
                     70,                0.90918,                0.59872,                 1.0356,                0.94931,                0.86803,                0.93981,                0.71847,                0.86775,                0.50973,                 1.0411,              0.0072676,              0.0072676,              0.0072676
                     71,                0.91647,                0.60755,                 1.0435,                0.94279,                0.83348,                0.92048,                0.69318,                0.89666,                0.56854,                  1.045,               0.007228,               0.007228,               0.007228
                     72,                0.91355,                0.58971,                 1.0296,                 0.9529,                0.87267,                0.93331,                0.71603,                0.87318,                0.50572,                 1.0295,              0.0071884,              0.0071884,              0.0071884
                     73,                0.90128,                0.59191,                  1.034,                 0.9596,                0.86536,                 0.9325,                 0.7198,                0.86598,                0.50588,                 1.0394,              0.0071488,              0.0071488,              0.0071488
                     74,                0.90087,                0.58884,                 1.0335,                0.93966,                0.88355,                 0.9318,                0.72029,                0.84818,                0.50927,                 1.0223,              0.0071092,              0.0071092,              0.0071092
                     75,                0.90013,                 0.5864,                 1.0293,                0.94838,                0.87736,                0.93909,                0.72177,                0.88571,                0.49196,                 1.0381,              0.0070696,              0.0070696,              0.0070696
                     76,                0.91919,                0.59963,                 1.0374,                0.95145,                0.88273,                0.93787,                0.72103,                0.88472,                0.50266,                  1.046,                0.00703,                0.00703,                0.00703
                     77,                 0.9025,                0.58406,                 1.0302,                0.93706,                0.88793,                0.92961,                0.71583,                 0.8686,                0.51157,                 1.0299,              0.0069904,              0.0069904,              0.0069904
                     78,                0.89122,                0.58889,                 1.0315,                0.94692,                0.88322,                0.93563,                0.72156,                0.86915,                0.50005,                 1.0364,              0.0069508,              0.0069508,              0.0069508
                     79,                0.88953,                0.57365,                 1.0231,                0.94524,                0.89261,                0.93934,                0.73206,                0.84755,                 0.4972,                 1.0298,              0.0069112,              0.0069112,              0.0069112
                     80,                 0.8887,                0.57336,                 1.0234,                 0.9539,                0.87693,                0.93659,                0.72618,                0.84533,                0.48853,                 1.0256,              0.0068716,              0.0068716,              0.0068716
                     81,                0.88641,                0.57122,                 1.0251,                0.94864,                0.89488,                0.94243,                0.72454,                 0.8624,                0.49303,                 1.0321,               0.006832,               0.006832,               0.006832
                     82,                0.88206,                  0.574,                  1.021,                0.96251,                0.87808,                0.94345,                 0.7278,                0.85354,                0.48731,                  1.027,              0.0067924,              0.0067924,              0.0067924
                     83,                0.88915,                0.57258,                  1.023,                0.95571,                0.88438,                0.93865,                0.72516,                0.85247,                0.49099,                 1.0222,              0.0067528,              0.0067528,              0.0067528
                     84,                0.87827,                0.56774,                 1.0157,                0.95203,                0.88854,                0.94058,                0.72391,                 0.8433,                0.48489,                 1.0348,              0.0067132,              0.0067132,              0.0067132
                     85,                0.88227,                0.57158,                 1.0186,                0.93714,                0.88881,                0.93917,                0.72984,                0.81989,                0.48264,                 1.0162,              0.0066736,              0.0066736,              0.0066736
                     86,                0.87754,                0.56792,                 1.0206,                0.93801,                0.89528,                0.94017,                0.73122,                0.84052,                0.48945,                 1.0308,               0.006634,               0.006634,               0.006634
                     87,                 0.8816,                0.57019,                 1.0223,                0.94344,                 0.8851,                0.94158,                0.72884,                0.84065,                 0.4979,                 1.0178,              0.0065944,              0.0065944,              0.0065944
                     88,                0.87592,                0.56923,                 1.0209,                0.93199,                0.89692,                0.93613,                0.72853,                0.84217,                0.49924,                 1.0367,              0.0065548,              0.0065548,              0.0065548
                     89,                0.87488,                0.56368,                 1.0205,                0.93782,                 0.8991,                0.94307,                 0.7393,                0.81927,                 0.4852,                 1.0094,              0.0065152,              0.0065152,              0.0065152
                     90,                0.86362,                 0.5569,                 1.0129,                0.95236,                0.88581,                0.93878,                0.73163,                 0.8522,                0.48741,                 1.0311,              0.0064756,              0.0064756,              0.0064756
                     91,                0.86901,                0.55945,                 1.0139,                0.95275,                0.88721,                0.94184,                0.73183,                0.85125,                0.48315,                 1.0294,               0.006436,               0.006436,               0.006436
                     92,                0.86677,                 0.5499,                 1.0156,                0.94272,                0.89417,                0.94242,                0.73439,                0.84457,                0.48631,                 1.0254,              0.0063964,              0.0063964,              0.0063964
                     93,                0.86412,                0.55291,                 1.0116,                0.94483,                0.89633,                0.94505,                0.73722,                0.85669,                 0.4886,                 1.0385,              0.0063568,              0.0063568,              0.0063568
                     94,                0.85697,                0.55529,                  1.012,                0.95399,                  0.897,                0.94401,                0.73736,                0.82892,                0.48545,                 1.0096,              0.0063172,              0.0063172,              0.0063172
                     95,                0.85562,                0.54894,                 1.0096,                0.95058,                0.88905,                0.94354,                0.74058,                0.85594,                0.47813,                  1.028,              0.0062776,              0.0062776,              0.0062776
                     96,                0.86368,                0.55784,                 1.0138,                0.94698,                0.90215,                0.94659,                 0.7433,                0.81778,                0.46467,                 1.0197,               0.006238,               0.006238,               0.006238
                     97,                0.85957,                0.55397,                 1.0129,                0.94742,                0.90267,                0.94663,                0.74487,                0.81665,                0.45077,                 1.0089,              0.0061984,              0.0061984,              0.0061984
                     98,                0.84601,                0.54504,                 1.0103,                0.95183,                0.89491,                0.94259,                0.73631,                0.82716,                0.48419,                 1.0145,              0.0061588,              0.0061588,              0.0061588
                     99,                0.84579,                0.54144,                 1.0042,                0.95099,                0.89806,                0.94365,                0.74325,                0.82207,                0.47388,                 1.0101,              0.0061192,              0.0061192,              0.0061192
                    100,                0.84539,                0.54668,                 1.0094,                0.96034,                0.89151,                0.94054,                0.73985,                0.80963,                0.47063,                 1.0124,              0.0060796,              0.0060796,              0.0060796
                    101,                0.84942,                0.53856,                 1.0046,                0.94597,                0.90959,                0.94491,                0.74846,                0.79981,                0.46245,                 1.0077,                0.00604,                0.00604,                0.00604
                    102,                0.84529,                0.54255,                 1.0078,                0.95823,                0.88829,                0.94636,                0.74605,                0.83077,                0.47788,                 1.0147,              0.0060004,              0.0060004,              0.0060004
                    103,                0.83484,                0.53499,                 1.0022,                 0.9527,                0.89935,                0.94533,                 0.7446,                0.83307,                0.46886,                 1.0169,              0.0059608,              0.0059608,              0.0059608
                    104,                 0.8418,                0.53656,                 1.0096,                 0.9558,                0.89756,                0.94634,                0.74738,                0.81573,                0.46892,                 1.0159,              0.0059212,              0.0059212,              0.0059212
                    105,                0.83257,                0.52923,                 1.0019,                0.95198,                0.89693,                0.94695,                0.74973,                0.81464,                0.46759,                 1.0172,              0.0058816,              0.0058816,              0.0058816
                    106,                0.83022,                0.52932,                 1.0005,                0.95376,                0.90026,                0.94807,                0.75305,                0.80845,                0.46979,                 1.0058,               0.005842,               0.005842,               0.005842
                    107,                0.84161,                0.53728,                 1.0027,                0.95806,                0.89859,                0.94587,                0.75175,                0.80605,                0.46542,                  1.003,              0.0058024,              0.0058024,              0.0058024
                    108,                0.83831,                0.53313,                 1.0026,                0.95884,                0.89871,                0.94573,                0.75249,                0.81453,                0.46225,                 1.0144,              0.0057628,              0.0057628,              0.0057628
                    109,                0.82961,                0.52737,                 1.0007,                0.94956,                0.90178,                0.94326,                0.74792,                0.83445,                0.47793,                 1.0239,              0.0057232,              0.0057232,              0.0057232
                    110,                0.82713,                0.52393,                0.99907,                0.95983,                 0.8951,                0.94619,                0.75444,                0.80699,                0.45911,                 1.0087,              0.0056836,              0.0056836,              0.0056836
                    111,                0.83182,                0.53115,                0.99697,                0.96768,                0.88858,                0.94804,                0.74944,                 0.8164,                0.45889,                 1.0006,               0.005644,               0.005644,               0.005644
                    112,                0.82939,                0.52474,                 0.9995,                0.95469,                0.91478,                0.94892,                0.75126,                0.81688,                0.45752,                 1.0113,              0.0056044,              0.0056044,              0.0056044
                    113,                0.82934,                0.52665,                0.99839,                0.95321,                0.90542,                0.95027,                 0.7507,                0.81905,                0.45862,                 1.0089,              0.0055648,              0.0055648,              0.0055648
                    114,                0.82015,                0.52106,                0.99375,                 0.9441,                0.90812,                0.94949,                0.74784,                0.82375,                0.45975,                 1.0109,              0.0055252,              0.0055252,              0.0055252
                    115,                0.82253,                0.52366,                0.99501,                0.95658,                0.90104,                0.94748,                0.75282,                0.82265,                0.45107,                 1.0114,              0.0054856,              0.0054856,              0.0054856
                    116,                0.83095,                0.52739,                0.99761,                 0.9569,                 0.9118,                0.95317,                0.75921,                0.79547,                0.43729,                0.99823,               0.005446,               0.005446,               0.005446
                    117,                0.81258,                0.51188,                 0.9908,                0.95062,                0.91171,                0.95429,                 0.7628,                0.80101,                0.43869,                0.99729,              0.0054064,              0.0054064,              0.0054064
                    118,                0.81089,                0.51834,                0.99449,                0.94261,                0.90763,                 0.9481,                0.75431,                0.79745,                0.44474,                 1.0113,              0.0053668,              0.0053668,              0.0053668
                    119,                0.82027,                 0.5171,                0.99281,                0.96104,                0.90885,                0.94986,                0.75546,                0.79732,                0.43501,                 1.0057,              0.0053272,              0.0053272,              0.0053272
                    120,                0.81096,                0.51461,                0.98862,                0.94467,                0.90703,                0.94777,                0.75537,                0.81487,                0.44734,                 1.0111,              0.0052876,              0.0052876,              0.0052876
                    121,                0.82052,                 0.5188,                0.99211,                 0.9573,                0.90122,                0.94845,                0.75404,                0.79716,                 0.4425,                 1.0036,               0.005248,               0.005248,               0.005248
                    122,                0.80822,                0.51224,                0.99176,                0.95112,                0.90774,                0.94715,                0.75811,                0.79993,                0.43794,                 1.0033,              0.0052084,              0.0052084,              0.0052084
                    123,                 0.8054,                0.51051,                0.98807,                0.93976,                0.91338,                0.94785,                0.75921,                0.80121,                0.43738,                 1.0023,              0.0051688,              0.0051688,              0.0051688
                    124,                0.80565,                 0.5136,                0.99102,                0.96411,                0.89104,                0.94944,                0.75712,                0.79875,                0.43531,                 1.0002,              0.0051292,              0.0051292,              0.0051292
                    125,                0.80418,                0.51018,                0.98806,                0.95083,                0.91503,                0.95031,                 0.7586,                0.79261,                0.43699,                 1.0047,              0.0050896,              0.0050896,              0.0050896
                    126,                 0.8152,                0.51171,                0.98619,                0.96344,                0.91099,                0.95066,                0.76036,                0.79335,                0.43882,                0.99371,                0.00505,                0.00505,                0.00505
                    127,                0.80419,                0.51082,                0.99102,                0.95031,                0.90912,                0.94821,                0.76001,                0.78942,                0.44114,                 1.0008,              0.0050104,              0.0050104,              0.0050104
                    128,                0.79901,                0.50609,                0.98518,                0.94118,                0.91684,                0.94984,                0.75974,                0.78625,                0.44201,                0.99937,              0.0049708,              0.0049708,              0.0049708
                    129,                0.80836,                0.50508,                0.98911,                0.94203,                0.90866,                0.94689,                0.75287,                0.79509,                0.44477,                 0.9998,              0.0049312,              0.0049312,              0.0049312
                    130,                0.79526,                0.49718,                0.98655,                0.96343,                0.90622,                0.95224,                0.76014,                0.78476,                0.42914,                0.99194,              0.0048916,              0.0048916,              0.0048916
                    131,                0.79249,                0.50015,                0.98141,                0.95428,                0.91241,                0.95268,                0.76134,                0.79282,                0.43366,                0.99627,               0.004852,               0.004852,               0.004852
                    132,                0.80025,                0.50548,                0.98322,                0.95716,                0.90953,                0.95034,                0.76073,                0.77863,                 0.4298,                 0.9897,              0.0048124,              0.0048124,              0.0048124
                    133,                0.78465,                0.49454,                0.97862,                0.95385,                 0.9079,                0.95007,                0.76012,                0.79192,                0.44205,                  1.001,              0.0047728,              0.0047728,              0.0047728
                    134,                0.78513,                0.49516,                0.97729,                0.96348,                0.90872,                0.95195,                0.76213,                0.78133,                0.43754,                 0.9953,              0.0047332,              0.0047332,              0.0047332
                    135,                 0.7796,                0.48518,                0.97638,                0.95182,                0.91992,                0.95246,                0.75892,                0.79924,                0.43445,                 1.0047,              0.0046936,              0.0046936,              0.0046936
